Words,Count
the,31243
and,20658
of,15845
to,10983
a,9438
in,8543
I,6797
he,6655
was,6608
that,6520
it,5578
his,4649
you,4471
said,4234
they,4195
not,3908
as,3642
is,3534
for,3482
had,3261
with,3246
on,3137
at,2869
were,2865
The,2820
but,2774
have,2673
him,2457
be,2389
all,2322
But,2322
s,2279
from,2263
them,2255
their,2063
Frodo,2040
we,2014
He,2007
or,2005
there,1954
now,1895
are,1796
will,1737
by,1646
up,1639
if,1638
no,1610
out,1585
And,1570
It,1495
came,1385
this,1378
Sam,1292
my,1273
me,1258
could,1233
into,1218
more,1203
great,1200
long,1197
would,1185
Gandalf,1181
t,1162
do,1148
down,1145
so,1129
like,1120
again,1107
your,1097
been,1090
They,1089
before,1035
come,1029
one,997
back,988
some,988
then,979
go,976
what,961
away,948
many,917
There,914
than,909
when,908
us,904
still,897
last,868
upon,857
about,847
see,846
Then,825
far,810
has,807
only,806
can,804
Aragorn,803
over,801
an,794
did,793
time,782
went,754
We,748
way,745
any,728
seemed,716
You,714
its,705
must,696
old,690
Pippin,686
know,682
may,682
which,681
shall,678
here,678
our,675
dark,666
looked,639
eyes,619
even,618
little,616
yet,603
where,589
For,582
while,579
light,578
who,576
men,576
other,571
thought,561
very,558
saw,555
In,555
through,549
Merry,545
A,534
say,531
stood,530
made,528
heard,518
under,516
her,511
off,510
passed,506
day,503
hand,500
first,498
too,497
should,494
night,493
left,490
after,490
think,489
ever,486
behind,485
am,485
though,485
hobbits,480
much,476
At,469
Gondor,449
himself,446
own,442
she,441
things,441
days,439
land,438
What,431
road,426
found,426
end,426
good,425
Men,418
Gollum,418
fell,415
well,415
these,412
two,410
turned,409
going,405
Gimli,402
hope,400
ll,397
trees,397
lay,394
such,391
side,391
seen,388
No,388
Bilbo,387
Shire,385
those,385
Ring,383
until,383
set,377
cried,374
beyond,372
That,371
above,369
once,369
don,365
find,363
If,363
take,361
get,354
feet,354
black,353
never,353
towards,349
Legolas,345
took,345
right,340
soon,340
head,336
voice,335
might,334
fear,331
white,331
water,329
between,329
deep,328
began,328
high,327
Orcs,323
Mr,322
king,321
since,321
man,317
suddenly,317
words,316
also,315
So,314
Faramir,313
Now,313
Saruman,312
got,311
face,307
round,306
felt,305
name,305
others,305
heart,304
indeed,302
Well,301
gone,301
near,300
grey,300
look,299
stone,299
Lord,298
years,298
Elves,297
answered,296
Boromir,293
son,292
called,292
few,291
sat,290
As,287
need,286
wind,285
shadow,285
against,284
make,284
moment,284
folk,284
among,283
spoke,281
tell,280
cannot,279
let,278
fire,278
When,273
world,270
mind,268
just,267
evil,265
This,264
small,264
Rohan,263
King,261
already,261
Mordor,260
master,259
another,258
coming,257
Th,257
most,257
without,256
hands,256
put,255
people,254
All,254
used,252
ve,252
omer,248
leave,247
oden,247
Sauron,246
speak,246
fair,244
knew,243
wish,243
nothing,242
Elrond,242
green,241
sun,241
enough,240
sound,240
ground,238
along,236
how,233
clear,233
thing,233
Strider,232
nor,232
gave,230
wide,229
together,229
grew,228
His,228
ran,227
air,226
hills,225
cold,224
place,223
hear,222
Not,222
three,222
brought,222
Yet,221
darkness,220
something,219
asked,219
Yes,219
slowly,218
rode,218
power,217
alone,216
looking,216
morning,215
drew,214
became,213
better,213
sky,213
strange,212
wonder,210
mountains,210
least,209
help,208
rest,207
door,206
path,205
both,205
sword,205
D,205
ago,204
keep,204
sleep,203
beside,201
names,201
done,200
Minas,200
less,200
house,199
pass,199
longer,198
Come,197
tall,197
new,194
forward,192
Great,192
Riders,191
war,190
course,189
wall,189
Let,188
almost,188
rose,188
m,187
River,185
use,185
silent,184
same,183
Do,183
walls,182
further,182
lost,182
held,182
part,182
battle,180
told,180
n,180
One,178
red,178
North,175
friends,175
Master,175
north,175
dead,174
shadows,174
To,174
give,174
strength,173
comes,173
West,173
agol,172
City,172
Denethor,169
fall,169
pale,168
open,168
hobbit,168
journey,167
silver,167
east,167
grass,167
often,166
across,165
followed,165
Isengard,165
want,164
N,164
full,163
save,163
being,163
laid,162
lord,162
west,162
news,161
does,161
ride,161
doubt,160
gate,160
Company,160
hard,160
Sm,159
call,158
Enemy,158
year,157
lands,157
hour,156
perhaps,156
rien,156
either,156
walked,155
word,155
return,155
Here,155
known,154
Treebeard,154
hill,153
maybe,153
broken,152
rather,151
re,151
themselves,151
d,151
arms,149
guess,149
ring,149
horse,148
sent,148
leaves,147
times,147
won,146
valley,146
answer,146
returned,146
laughed,145
Rivendell,145
strong,144
south,144
sight,143
taken,143
turn,143
none,143
heavy,141
close,141
feel,140
stream,140
led,139
seems,139
r,139
Ents,138
horses,138
each,138
always,138
Dark,137
Tirith,137
Tom,137
Black,137
line,137
Lady,136
remained,136
filled,136
wood,136
Mountains,136
sprang,136
caught,136
stars,136
low,134
below,134
Tower,134
home,134
After,134
foot,134
ahead,134
L,133
tree,133
plain,133
short,133
How,132
yes,132
Hobbits,130
fallen,130
death,130
anything,130
Bree,130
voices,129
food,129
silence,129
Where,129
Road,129
Moria,129
East,129
halted,129
White,129
mean,128
seem,128
ancient,127
